SETUP PARAMETERS
a0,a1,a2,v_phot,v_outer,t_phot
9.97,-4.42,10.0,10.6,34.3,12.0
""
OPACITY PROFILE PARAMETERS
 ,log_tau,v_min,v_max,aux,temp,opacity_at_vmin,opacity_at_vmax
H_I,-6.0,10.6,34.3,0.1,10.0,-7.710960068615586e+19,-9.105760914321153e-84
He_I,1.03,10.6,34.3,1.28,28.0,32.04236079549669,2.914008000184831e-07
He_II,-2.5,10.6,34.3,1.28,10.0,-77.77272037741915,-7.07283495190493e-07
Li_I,2.44,10.6,34.3,1.23,15.9,87.28981694569258,3.739817373780905e-07
Li_II,-2.5,10.6,34.3,0.406,10.0,-127227.1251920938,-5.661177287671754e-21
Be_I,-0.93,10.6,34.3,0.1,10.0,-1.1951988106354158e+19,-1.4113929417197788e-84
Be_II,-0.399,10.6,34.0,9.97,3.0,-0.6203509639729926,-0.05933766505093119
Be_III,-0.37,10.6,34.3,1.0,4.53,-30.136821406038212,-1.535741864448348e-09
B_I,10.0,10.6,34.3,0.163,10.0,5287941330975.255,3.7792170563593186e-51
B_II,-1.12,10.6,34.3,2.0,6.44,-10.108015119366218,-7.21566350784782e-05
B_III,5.5,10.6,34.3,0.1,14.6,7.06838006289762e+19,8.34694750479439e-84
B_IV,1.79,10.6,34.2,0.694,10.0,1014.6238754500682,1.7289783482262209e-12
C_I,0.0325,10.6,34.3,0.969,12.2,3.0472772415932003,7.2752645220323e-11
C_II,-0.868,10.6,34.3,0.944,7.31,-91.7854129644198,-1.1465839212207644e-09
N_I,0.00263,10.6,34.3,1.0,15.8,0.2142157845888662,1.0916219198646365e-11
N_II,-0.906,10.6,34.3,2.56,8.5,-5.0532622613008815,-0.00048189781284342165
N_III,0.0025,10.6,33.7,10.0,8.09,0.0038817680462783404,0.00038530915453782846
N_IV,0.413,10.6,34.3,0.5,16.4,2739.9427745927683,7.115133452538832e-18
N_V,5.07,10.6,34.3,0.1,12.0,6.5157612579801694e+19,7.694367972601374e-84
F_I,0.00334,10.6,34.0,3.0,11.9,0.0144781044994586,5.932185842752827e-06
Ne_I,0.00191,10.6,34.3,9.63,3.0,0.003016233132380602,0.00025741892975869357
Na_I,1.0,10.6,34.2,1.94,3.38,9.660459719606193,5.0330101700985437e-05
Mg_I,0.00131,10.6,28.9,5.41,3.84,0.0029545188882527237,0.00010033015871484213
Al_I,1.0,10.6,34.3,2.63,23.6,5.328148488331706,0.000650087855549021
Al_II,1.0,10.6,34.3,1.06,9.22,63.49387193152703,1.237549944874769e-08
Al_III,0.00238,10.6,25.7,9.06,3.0,0.003868054632870217,0.0007305811505919863
Si_I,-4.09,10.6,34.3,2.0,10.0,-36.91230521268556,-0.0002635005691705141
Si_II,-3.0,10.6,34.2,2.0,10.0,-27.075040498302364,-0.00020318620947256132
Si_III,0.0321,10.6,34.0,3.13,3.0,0.13092266807532815,7.416733092439123e-05
P_I,-0.998,10.6,34.3,1.75,10.0,-12.333063083841012,-1.6198799373131232e-05
P_II,0.909,10.6,34.3,1.0,4.81,74.03883961645604,3.772944202117698e-09
P_III,-2.5,10.6,34.3,1.37,10.0,-62.051802723903855,-1.9044819873736954e-06
S_II,-0.84,10.6,34.3,10.0,22.3,-1.3042740635495225,-0.12192448672624395
Ar_I,0.00192,10.6,34.3,2.59,8.19,0.01049781231897203,1.114429944108437e-06
K_I,0.313,10.6,34.3,2.44,10.0,1.8997581718204106,0.00011490691938221619
K_II,0.00229,10.6,33.5,3.82,10.6,0.007245526748952156,1.805414249174913e-05
Ca_I,-2.25,10.6,34.3,1.5,9.0,-42.277860201943206,-5.8111245567551475e-06
Ca_II,2.1,10.6,34.3,1.09,8.56,118.94183503919099,4.289611075047564e-08
Sc_I,-2.5,10.6,34.3,2.5,9.5,-14.531093486006474,-0.0011096515097571862
Sc_II,0.00423,10.6,34.3,0.937,11.2,0.4631448115946897,4.796160724947317e-12
Ti_III,1.0,10.6,34.3,1.44,10.0,21.232978349907842,1.5109412185530948e-06
Fe_I,-3.24,10.6,33.9,1.25,10.0,-109.46154822287262,-8.790477038029594e-07
Fe_II,0.004,10.6,33.8,7.38,8.41,0.00726087484163445,0.00031313179300998745
Fe_III,-0.935,10.6,33.2,1.06,3.44,-59.36677025597778,-3.266309236108893e-08
Fe_IV,0.0,10.6,30.6,3.19,14.0,0.0,0.0
Co_II,-3.88,10.6,31.2,2.0,10.0,-35.01705237780439,-0.0011777318557460031
Ni_I,0.0,10.6,32.0,7.47,6.41,0.0,0.0
Zn_I,0.0,10.6,34.3,9.0,20.8,0.0,0.0
Ba_I,0.0,10.6,34.3,6.13,9.16,0.0,0.0
Ba_II,0.0938,10.6,30.1,0.469,8.72,1113.2875681842816,9.763090677045726e-16
